threshold_variant,zero_penalty,critical_threshold,high_threshold,moderate_threshold,n_critical,n_high,n_moderate,n_low,spearman_r_vs_baseline
baseline,95.0,70,50,30,23,27,46,83,1.0
baseline,100.0,70,50,30,23,27,46,83,0.9999
baseline,90.0,70,50,30,23,27,46,83,0.9999
baseline,85.0,70,50,30,23,27,46,83,0.9998
strict,95.0,75,55,35,23,27,46,83,1.0
strict,100.0,75,55,35,23,27,46,83,0.9999
strict,90.0,75,55,35,23,27,46,83,0.9999
strict,85.0,75,55,35,23,27,46,83,0.9998
lenient,95.0,65,45,25,31,35,38,75,1.0
lenient,100.0,65,45,25,31,35,38,75,0.9999
lenient,90.0,65,45,25,31,35,38,75,0.9999
lenient,85.0,65,45,25,31,35,38,75,0.9998
very_strict,95.0,80,60,40,16,17,33,113,1.0
very_strict,100.0,80,60,40,16,17,33,113,0.9999
very_strict,90.0,80,60,40,16,17,33,113,0.9999
very_strict,85.0,80,60,40,16,17,33,113,0.9998
very_lenient,95.0,60,40,20,33,33,38,75,1.0
very_lenient,100.0,60,40,20,33,33,38,75,0.9999
very_lenient,90.0,60,40,20,33,33,38,75,0.9999
very_lenient,85.0,60,40,20,33,33,38,75,0.9998
