Biobank,Theme,Count
FinnGen,Genetics,1845
FinnGen,Other,856
FinnGen,Clinical,133
FinnGen,Methodology,41
FinnGen,Epidemiology,36
FinnGen,Disease Focus,98
UK Biobank,Genetics,3231
UK Biobank,Other,3083
UK Biobank,Clinical,540
UK Biobank,Epidemiology,1367
UK Biobank,Disease Focus,467
UK Biobank,Data Science,322
Million Veteran Program,Other,936
Million Veteran Program,Genetics,109
Million Veteran Program,Data Science,30
Million Veteran Program,Epidemiology,55
Million Veteran Program,Clinical,30
All of Us,Other,232
All of Us,Epidemiology,49
All of Us,Clinical,180
All of Us,Genetics,29
All of Us,Data Science,33
All of Us,Disease Focus,14
All of Us,Diversity & Equity,14
Estonian Biobank,Other,30
Estonian Biobank,Genetics,44
Estonian Biobank,Clinical,11
Estonian Biobank,Disease Focus,8
Estonian Biobank,Epidemiology,3
