biobank,term,trend_type,slope,r_squared,p_value,total_usage
UK Biobank,"databases,_factual",emerging,1.2236024844720497,0.45049057722388214,0.000627051991007007,175
UK Biobank,brain_ischemia,emerging,0.3156408808582722,0.4655494786273724,0.00046842861429530674,33
UK Biobank,frail_elderly,emerging,0.21908526256352343,0.28753256476664146,0.010096135366493519,20
UK Biobank,occupational_exposure,emerging,0.17730095990965558,0.5799218897044984,3.839306357616419e-05,22
UK Biobank,menopause,emerging,0.3873517786561265,0.5494279176201375,7.91921482123157e-05,42
UK Biobank,waist-hip_ratio,emerging,0.42123094297007335,0.7373338562313189,3.158026413049684e-07,58
UK Biobank,fish_oils,emerging,0.31620553359683795,0.37660983893204214,0.0023838711786284056,30
UK Biobank,cardiorespiratory_fitness,emerging,0.19480519480519481,0.5900125413293809,2.9882942952691725e-05,23
UK Biobank,observational_studies_as_topic,emerging,0.18972332015810278,0.43072321333190905,0.0009097258974646893,22
UK Biobank,"obesity,_abdominal",emerging,0.4991530208921513,0.5612585540188806,6.013885011724307e-05,52
Million Veteran Program,prostatic_neoplasms,emerging,0.18161283035915965,0.3380016565017693,0.04740094211587373,12
Million Veteran Program,black_people,emerging,0.2263383781341766,0.4845962711334294,0.011915530337023349,18
Million Veteran Program,mendelian_randomization_analysis,emerging,0.5624576462615766,0.43711596104598166,0.01922862033163544,42
Million Veteran Program,middle_aged,emerging,1.0451773209848654,0.35322733651281674,0.041554332955105314,97
Million Veteran Program,aged,emerging,1.0454032075897897,0.4578090504093061,0.01567702539593561,92
Million Veteran Program,"polymorphism,_single_nucleotide",emerging,1.469844138242602,0.5069314574412791,0.009388814643449239,117
Million Veteran Program,united_states,emerging,0.74113395075672,0.3651690182358911,0.03741910723289596,71
Million Veteran Program,phenotype,emerging,0.4881409532414727,0.5266463304816887,0.007546985646024169,43
Million Veteran Program,prospective_studies,emerging,0.2554777501694149,0.49904203012367576,0.010224197886066592,21
Million Veteran Program,"aged,_80_and_over",emerging,0.18725999548226785,0.33241656585610285,0.04971947023736568,19
FinnGen,pulmonary_embolism,emerging,1.2571428571428571,0.8642857142857144,0.007245591499253189,12
FinnGen,united_states,emerging,0.4285714285714285,0.6650246305418719,0.0479249737485004,5
FinnGen,leukocytes,emerging,0.4285714285714286,0.6650246305418719,0.0479249737485004,7
FinnGen,triglycerides,emerging,1.857142857142857,0.868448098663926,0.006797393862393788,21
FinnGen,blood_pressure,emerging,1.2857142857142858,0.9183673469387754,0.0025702607653999396,15
FinnGen,"depressive_disorder,_major",emerging,2.3714285714285714,0.8570184532448684,0.008064296845850815,23
FinnGen,"carcinoma,_renal_cell",emerging,0.6857142857142857,0.6857142857142856,0.041794680456045286,6
FinnGen,"arthritis,_psoriatic",emerging,1.2571428571428571,0.6691244239631338,0.04667158738223065,10
FinnGen,european_people,emerging,0.7142857142857142,0.824175824175824,0.012348476908602659,7
FinnGen,biological_specimen_banks,emerging,2.1142857142857143,0.787535953978907,0.018294054446982295,38
All of Us,white,emerging,0.7833333333333334,0.5242879746835445,0.027394677343937322,13
All of Us,"databases,_factual",emerging,0.7333333333333333,0.5130742049469965,0.029944146753269067,17
All of Us,depression,emerging,1.0166666666666668,0.6328231292517007,0.010358440479788235,18
All of Us,biomedical_research,emerging,1.1,0.635603112840467,0.01007070016056374,40
All of Us,adolescent,emerging,2.3,0.5276320650166235,0.026667994139939397,43
All of Us,lichen_planus,emerging,0.38333333333333336,0.5921641791044776,0.015317775212069925,8
All of Us,middle_aged,emerging,7.533333333333334,0.4765293111491216,0.03955886060855791,137
All of Us,pandemics,emerging,0.6666666666666667,0.6060606060606061,0.013456413043943344,15
All of Us,social_determinants_of_health,emerging,0.6833333333333333,0.470429104477612,0.041375426384448785,11
All of Us,gender_identity,emerging,0.45000000000000007,0.675,0.00660265592724442,9
Estonian Biobank,electronic_health_records,emerging,0.2802197802197803,0.3730636833046474,0.026592145637038798,16
Estonian Biobank,incidence,emerging,0.14835164835164832,0.31368330464716004,0.0465193150166949,9
Estonian Biobank,"dermatitis,_atopic",emerging,0.1098901098901099,0.4329004329004328,0.014503413170948706,5
Estonian Biobank,multifactorial_inheritance,emerging,0.5494505494505495,0.3848522167487684,0.02368730551074718,43
Estonian Biobank,risk_factors,emerging,0.5494505494505495,0.3249707526322631,0.041942179232431646,96
Estonian Biobank,pregnancy,emerging,0.2252747252747253,0.3159774436090227,0.04555453496954196,19
Estonian Biobank,mendelian_randomization_analysis,emerging,0.2197802197802198,0.34217279726261773,0.03573406752598232,24
Estonian Biobank,gastrointestinal_diseases,emerging,0.1208791208791209,0.5238095238095238,0.0051620205642350665,5
